,Texts,Classes,Labels
,"দাম ঠিক আছে আপু,সুন্দর হয়েছে",joy,0
,আমি সবার গল্পেই বিরক্তিকর,sadness,1
,অনেক ধন্যবাদ ভাই। গুগলে সার্চ করলে ব্যাংক অফ আমেরিকার বুথ শো করছিল,joy,0
,অবশই সেরা শিক্ষক যার শিক্ষায় এতোটাই গুন একটা অলস ছেলেকেও টানা ১২ ঘন্টা লাগাতার কোডিং এ বসিয়ে রাখতে পারে।,joy,0
,"সার্ভিস ভালো আপনাদের, জার্সির মান ও ভালো, আলহামদুলিল্লাহ",joy,0
,"আগে মানুষ ভার্সিটি দুটোই সুন্দর ছিল, ছিল আন্তরিকতা সৌহার্দ, এখন শুধু মানুষগুলোই সুন্দর বাকি গুলো কিছুই নাই",sadness,1
,অসুস্থতা বা অন্য কোনো কারনে যদি আমার নামাজ বাদ যায় আমার এত অস্থির লাগে যে আমি কোন কিছুই করতে কোন কিছুতে শান্তি পাই না,sadness,1
,আমি তো তেল ব্যবহার করার পরে আরো চুল বেশি করে পড়ে যেতে আছে,anger,4
,"স্টুডেন্টদের ব্যাচেলর থেসিস নিয়ে, টিচারদের নিজের নামে পাবলিকেশন করাও দেখেছি😅😅😅.",disgust,3
,জীবনর পাপ এখানে আসা,sadness,1
,"যে ডিপার্টমেন্টে শিক্ষক দরকার ৩০ জন সেখানে আছে ৫/৬ জন, তার উপর PHD করার নামে আরও ২ জন গেল থাকে ২/৩ জন আর কি ক্লাস হবে!!!",anger,4
,স্যার রা স্টুডেন্ট এর টাইমের ব্যাপারে কতটা কেয়ারলেস এই ক্যাম্পাস এ না পড়লে বুঝতামই নাহ,sadness,1
,ছাত্র-ছাত্রীদের আর্তনাদগুলো অভিশাপ হয়ে লাগে শিক্ষকদের জীবনে। আজকের সমাজে শিক্ষার্থী বান্ধব শিক্ষকের অভাব,sadness,1
,বিশ্ববিদ্যালয়ে বৃষ্টিতে ভিজে অনুষ্ঠান দেখার মধ্যেও একটা ফিল আছে!,joy,0
,একেই বলে স্মার্ট বাংলাদেশ,disgust,3
,"অর্থনৈতিক টানাপোড়েনে শিক্ষকরা আজ ভাল নেই!",sadness,1
,"সরজ সরল লোক গুলোকে, জীবন ভর সবাই অবমূল্যায়ন করে তুষ্টী পায়",sadness,1
,"আহারে, উনার তো লক্ষ টাকা বেতন 😆😆😆 উনি কেন ব্যাবসা করবেন???",disgust,3
,লম্পট ইউএনও - এর দৃষ্টান্ত মূলক শাস্তি চাই।,anger,4
,আল্লাহ! যদি ডেঙ্গু হয়,fear,5
,"ফারিন হেলমেট পরুন, নইলে দুর্ঘটনা ঘটতে পারে",fear,5
,আর্জেন্টিনার সমর্থক হয়ে আমরা গর্বিত। কারণ আমরা এমন একটি দলকে সমর্থন করেছি যারা কিনা ভালবাসার প্রতিদান দিতে জানে,joy,0
,অনেক অনেক ধন্যবাদ আর্জেন্টিনাকে বাংলাদেশ ক্রিকেট দলকে সাপোর্ট দেবার জন্য।,joy,0
,এটাই তো আন্তরিকতা এর থেকে বেশি কিছু আশা করা যায় না।,joy,0
,"বাংলাদেশ এগিয়ে যাক এটা আমরা সবাই চাই, কিন্তু লাভ নাইরে ভাই , আর্জেন্টিনা আমাদের জন্য শুভকামনা চাইলেও আমাদের ক্রিকেটের প্লেয়াররা সেই সম্মানটুকু রাখতে পারবে না মনে হয় । এমনিতেই ভালো খেলতে পারে না তার উপরে আবার বিভিন্ন দিধাদন্ধে জরিয়ে আছে",fear,5
,বাংলাদেশের খেলা দেখে আমরা অধিকাংশ বাঙালিরা হাটা টাক করার মতো অবস্থা হয়ে যায়।আর আর্জেন্টিনার মানুষ তো মনে হচ্ছে নগদে মারা যাবে,fear,5
,বিসিবির যা চরিত্র আর্জেন্টিনা জানলে তাদের বিশ্বকাপটা দিয়ে দিতো !,surprise,2
,"এটা বিকাশ প্রচারণা চালাচ্ছে টাকা দিয়ে, কি সাংঘাতিক রে ভাই সময় টিভির",surprise,2
,"ভাই আমরা কুষ্টিয়া বাসী ভয়ে আছি, না জানি কবে উড়ে যাবো",fear,5
,বিপদের সময় বন্ধু বিপদ শেষ হলে বন্ধু বাদ,disgust,3
,সাংবাদিক সায়েন্স এর ছাত্র বলে কথা,surprise,2
,আচ্ছা এগুলো অনেক আগেই কোরআন এ বলা হয়েছে,surprise,2
,কয়েকদিন পর দেখা যাবে এই ইউরেনিয়াম রড বড় বড় এমপিদের বাড়িতে দেখা যাবে কারণ এত বড় বড় রড সিমেন্ট বালু বিল্ডিং খাইয়া ফেলছে আর এটাতো ইউরেনিয়াম এটা খাইয়া খাইতে কোন অসুবিধা হবে না,disgust,3
,শুনছি বাংলাদেশের নাকি ইউরেনিয়াম এর খনি আছে,surprise,2
,চমৎকার লাগে রনি ভাইয়ের কথা গুলো।,joy,0
,থানার ওসি সব চেয়ে বেশী ক্ষমতবান।,surprise,2
,বর্তমানে বোদা কমিশন নির্বাচন কমিশন এখন নেই নির্বাচন কমিশন খুব দরকার,disgust,3
,কমিটিতে ঢুকতে পারলেই কোটিপতি। হায়রে ছাত্ররাজনীতি,disgust,3
,এদের কাছ থেকে জাতি কি আশা করতে পারে,disgust,3
,চারপাশের এত অনিয়ম দেখে যখন ভীষণভাবে ডিপ্রেশনে চলে যাই,sadness,1
,আট মাসে অর্ধেক রিজার্ভ শেষ !,surprise,2
,বাংলাদেশের একমাত্র অনুষ্ঠান ইত্যাদি যার জনপ্রিয়তা কখনোই কমে নি,joy,0
,"বাহ এই একটা অনুষ্ঠান ই ঠিক আগের মতো,বাংলার দর্শকের মনে আজও চির অমলিন",surprise,2
,নিজের এলাকা এবং জেলা যদি ইত্যাদিতে দেখায় তখন এটার অনূভুতি বলে বোঝানো যায় না ️️,joy,0
